db_id,artistName,trackName,albumName,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
196,hololive IDOL PROJECT,BLUE CLAPPER - Bouquet ver.,Bouquet,0.654,0.932,10,-3.635,1,0.0512,0.0556,2E-05,0.405,0.633,144.929
197,NyxTheShield,The Undying,Glitchtale: LOVE Part 1 (Original Motion Picture Soundtrack),0.0939,0.908,4,-5.416,0,0.244,0.000216,0.836,0.0773,0.17,179.981
198,NyxTheShield,"Soulless Heart (From ""Underverse"")","Soulless Heart (From ""Underverse"")",0.718,0.681,1,-7.611,0,0.0433,0.293,9.52E-06,0.0582,0.818,97.008
199,Kawai Sprite,South,Southside,0.688,0.404,9,-9.481,0,0.0818,0.377,0.0,0.0813,0.448,75.007
200,Yugo Kanno,il vento d'oro,JOJO'S BIZARRE ADVENTURE -Golden Wind O.S.T vol.1 Overture,0.491,0.915,11,-4.834,1,0.143,0.00652,0.125,0.0906,0.582,134.947
201,Tom Cardy,Mixed Messages,Mixed Messages,0.764,0.777,8,-5.878,1,0.126,0.265,0.0,0.11,0.914,110.925
202,Dan Bull,Boom Boom Boom Boom Boom Boom Boom Boom Boom Boom Boom Boom Boom,Generation Gaming VI,0.848,0.898,1,-8.702,1,0.0915,0.0651,2.26E-05,0.062,0.897,134.93
203,Will Wood and the Tapeworms,Dr. Sunshine Is Dead,SELF-iSH,0.324,0.869,0,-4.429,0,0.0638,0.277,0.0453,0.213,0.264,129.823
204,Kawai Sprite,Spookeez,"Friday Night Funkin', Vol. 1 (Original Game Soundtrack)",0.591,0.92,3,-8.371,0,0.0551,0.654,1.81E-05,0.0425,0.861,149.972
205,RichaadEB,Megalovania,Megalovania,0.478,0.943,2,-4.643,0,0.152,6.09E-06,0.945,0.071,0.302,119.964
206,OR3O,Greedy,Greedy,0.655,0.86,0,-3.538,0,0.176,0.136,0.0,0.955,0.795,117.433
207,NyxTheShield,Embodiment of a True Hero,Glitchtale: Animosity (Original Motion Picture Soundtrack),0.257,0.854,5,-7.402,0,0.211,0.0103,0.769,0.148,0.144,149.358
208,Rockit Music,Subnautic Stimulus,Subnautic Stimulus,0.658,0.595,9,-7.669,0,0.0776,0.165,0.0,0.0788,0.278,125.014
209,RetroSpecter,Release,Release,0.331,0.842,11,-6.508,0,0.158,0.000266,0.878,0.286,0.641,118.597
210,Mike Geno,Hairball - Friday Night Funkin': VS. KAPI Original Soundtrack,Hairball - Friday Night Funkin': VS. KAPI Original Soundtrack,0.69,0.65,3,-6.624,0,0.0329,0.0653,0.383,0.082,0.663,118.001
211,NyxTheShield,Bring it On,劣等上等 feat. 鏡音リン・レン,0.554,0.966,6,-1.672,0,0.249,0.00224,0.00143,0.355,0.705,159.943
212,SayMaxWell,Vitality - Remix,Vitality (Remix),0.674,0.977,0,-4.873,0,0.0617,0.000844,0.906,0.0918,0.803,149.985
213,Kawai Sprite,Eggnog,"Friday Night Funkin', Vol. 1 (Original Game Soundtrack)",0.574,0.932,5,-9.0,0,0.036,0.192,0.937,0.0848,0.97,150.013
