db_id,artistName,albumName,trackName,id,albumID,uri,duration_ms
13555,Black Gryph0n,Insane,Insane,5flerg6aEao2VayZezVlgu,3o5Dz1PLFlYXplnsp5zZxh,spotify:track:5flerg6aEao2VayZezVlgu,159714
13556,Nelly,Nellyville,Dilemma,0ARK753YaiJbpLUk7z5yIM,4HUUHHXBXImwksfbSPqE7q,spotify:track:0ARK753YaiJbpLUk7z5yIM,289160
13557,Lord Nekros,Bunny Girl Senpai,Bunny Girl Senpai - Drill Remix,7BJVM5fAUeahXLY6KfLpzY,3H0GjJvrWIss4nIL9YmjMC,spotify:track:7BJVM5fAUeahXLY6KfLpzY,113816
13558,"Tito ""El Bambino""",El Patrón (La Victoria),Baila Sexy,4LzB4Pj87Y30XAOCVxpD8C,214muZYoc3ewXMXGwQBFVU,spotify:track:4LzB4Pj87Y30XAOCVxpD8C,165373
13559,The Longest Johns,Commodore 1864,Barge Ballad - Chiptune,0sU1Ad0JhLKTbUGIjTqR9C,4zQAW12WQeDWvanDAr5et8,spotify:track:0sU1Ad0JhLKTbUGIjTqR9C,135000
13560,"Tito ""El Bambino""",El Patrón (La Victoria),Piropo,4MgxiP6Bc1PMkyDTrVAjpW,214muZYoc3ewXMXGwQBFVU,spotify:track:4MgxiP6Bc1PMkyDTrVAjpW,193053
13561,Usher,8701,U Remind Me,2QsZVnbWVSjKMXK6K3uRBL,6k16WXh4rKyusIoN00rmpi,spotify:track:2QsZVnbWVSjKMXK6K3uRBL,266893
13562,Masego,Studying Abroad: Extended Stay,Mystery Lady,0bkTdkWwGk3OGFX0afD3Wj,1S0yIZRDiFmqCQyTIEV175,spotify:track:0bkTdkWwGk3OGFX0afD3Wj,228453
13563,Pentatonix,"PTX Presents: Top Pop, Vol. I",Havana,0wkiCJqCtI8keITfZ642jg,2viOlnLfhPLDgx7hvBqLwW,spotify:track:0wkiCJqCtI8keITfZ642jg,155787
13564,Jewelle Blackman,Hadestown (Original Broadway Cast Recording),Nothing Changes,4MITx2mU5AihHNUVDPKEpE,1J1yxODbNlqKbwRqJxYJUP,spotify:track:4MITx2mU5AihHNUVDPKEpE,71775
13565,Patrick Page,Hadestown (Original Broadway Cast Recording),"Papers (""You're not from around here, son..."") [Intro]",1oVH404oz30kMDH3HgUooq,1J1yxODbNlqKbwRqJxYJUP,spotify:track:1oVH404oz30kMDH3HgUooq,113818
13566,Leslie Grace,In The Heights (Original Motion Picture Soundtrack),Alabanza,5rBlo5Qzr39l4BOKMNSDtC,0F3HOT0E0Jj2MSnPm6tq4n,spotify:track:5rBlo5Qzr39l4BOKMNSDtC,198103
13567,Toby Fox,DELTARUNE Chapter 1 (Original Game Soundtrack),Rude Buster,322mgWaD4DetiHmoDVlwWc,6putGW0KxGMrgTZzplp2pF,spotify:track:322mgWaD4DetiHmoDVlwWc,75429
